Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
10/23/2015,-0.475429017272083,-0.454089992471953,-0.63282712449921,0.0277482180560796,0.188872506289958,-0.868572399986679
10/30/2015,-0.487840221415165,-0.465475024424293,-0.652025661909665,0.0272338712621728,0.166007056563794,-0.86098169851629
11/06/2015,-0.493819618581614,-0.470924656081876,-0.665676595785425,0.0320946636001668,0.141939189745616,-0.853032646725933
11/13/2015,-0.491007342155746,-0.468775693746603,-0.671079315267876,0.0428721291817951,0.118408378768335,-0.844755138531161
11/20/2015,-0.480830194920923,-0.458739052532419,-0.668188015558605,0.058262463537644,0.0976132756064269,-0.836186304229755
11/27/2015,-0.46455367152616,-0.441164956483549,-0.657970773260409,0.0778401832378479,0.080809687874634,-0.827371587114889
12/04/2015,-0.442752539669845,-0.416134817599434,-0.642225101031369,0.100894716333295,0.070505155837634,-0.818365709636002
12/11/2015,-0.416294114582959,-0.38536482957859,-0.622821996205587,0.127059224321401,0.0676108445731794,-0.80923381257441
12/18/2015,-0.389374876797272,-0.355332639504077,-0.60383645056221,0.154975709422972,0.0721607219963848,-0.800053992752179
12/25/2015,-0.364264674486302,-0.329637096625124,-0.587184328583582,0.183062043102904,0.0835944510457222,-0.790918678986626
01/01/2016,-0.342107869481406,-0.312364474216903,-0.574105680201892,0.210176313784257,0.100729308105093,-0.781932689968446
01/08/2016,-0.322149257831509,-0.299233223509514,-0.564077569055878,0.23536985899447,0.122203908782498,-0.773208118747832
01/15/2016,-0.303458870389679,-0.287069135779631,-0.557201770187701,0.258724694405297,0.145886211469283,-0.76487157900018
01/22/2016,-0.288044982265129,-0.274339906929237,-0.553884204577657,0.27820556013208,0.16998164946134,-0.757027234277748
01/29/2016,-0.276357320279368,-0.259511904116065,-0.553138255290138,0.291964994775163,0.192934355661748,-0.749769540164362
02/05/2016,-0.269349190112397,-0.24315933913127,-0.554576618880856,0.298401438393987,0.213491655119658,-0.743170214204556
02/12/2016,-0.269888266231576,-0.232107645995187,-0.558377465281116,0.295126757859258,0.230821861332211,-0.73727456611879
02/19/2016,-0.283267614839523,-0.236724120118377,-0.566310466456051,0.279844185568152,0.244122612247639,-0.732103371797081
02/26/2016,-0.304776933025003,-0.253567504907471,-0.575716961368888,0.255179057439051,0.253187801452656,-0.72765576671108
03/04/2016,-0.330807120781273,-0.277964766207541,-0.585231172128366,0.224474033337938,0.257960754656189,-0.723909897542278
03/11/2016,-0.355814395087376,-0.301910210029078,-0.593272116619255,0.19316029460567,0.258234886494775,-0.720823993047345
03/18/2016,-0.376461700974228,-0.316913182773157,-0.598761999131072,0.165169618257414,0.253676146890463,-0.718335311994686
03/25/2016,-0.389351615799983,-0.318163492044229,-0.599859981119009,0.143200302051314,0.244526088199744,-0.716360481276321
04/01/2016,-0.395970904189469,-0.309177293279367,-0.597497963663682,0.127669713372544,0.231105748705442,-0.714801254256038
